phaora-hardscape-001.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNkW5yRFNMHUB2TfkLo'}, defaulting to outdoor
phaora-hardscape-002.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNkXTaPJoAXozF6yuDD'}, defaulting to outdoor
phaora-hardscape-003.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNkYKAfeyWxrT89gaKk'}, defaulting to outdoor
phaora-hardscape-004.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNkZniqojYre5isTpUa'}, defaulting to outdoor
phaora-hardscape-005.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNkbasYUFKVnxWB4c4q'}, defaulting to outdoor
phaora-hardscape-006.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNkfLb9N3AM1nRttBVR'}, defaulting to outdoor
phaora-hardscape-007.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNkgU4XpuAwTsvRKgiq'}, defaulting to outdoor
phaora-hardscape-008.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNki2Zs9xKZuQNgXTvG'}, defaulting to outdoor
phaora-hardscape-009.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNkiuA7Nyg6AeZNxcVz'}, defaulting to outdoor
phaora-hardscape-010.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNkjoye6gPRvkf2egMo'}, defaulting to outdoor
phaora-hardscape-011.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNknpJCLuUEieD2UTNZ'}, defaulting to outdoor
phaora-hardscape-012.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNkqBBdeSosyGNKNBBY'}, defaulting to outdoor
phaora-hardscape-013.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNkrGuqR6tzGj1wNcCy'}, defaulting to outdoor
phaora-hardscape-014.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNkswd8esqjppm4KeSS'}, defaulting to outdoor
phaora-hardscape-015.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNkveLp5LNF8keYCyy8'}, defaulting to outdoor
phaora-hardscape-016.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNkySmGobjepMWECMy3'}, defaulting to outdoor
phaora-hardscape-017.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNkzYVaedCKBD5Yaztq'}, defaulting to outdoor
phaora-hardscape-018.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNm1jBZyiiTnxvhDPJZ'}, defaulting to outdoor
phaora-hardscape-019.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNm2ru7YS75b9Xh8cZt'}, defaulting to outdoor
phaora-hardscape-020.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNm3nTd6CPuV16KuQNq'}, defaulting to outdoor
phaora-hardscape-021.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNm63PXTaKvR8o61sCr'}, defaulting to outdoor
phaora-hardscape-022.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNm7hMnSsVQbRJULuMZ'}, defaulting to outdoor
phaora-hardscape-023.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNm94hyuLZ62ei5Txfg'}, defaulting to outdoor
phaora-hardscape-024.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNmAPqKcjYZ69PCAqQM'}, defaulting to outdoor
phaora-hardscape-025.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNmBQMNGp2NhRmMw95g'}, defaulting to outdoor
phaora-hardscape-026.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNmDkF6qsb86wv3S4Z5'}, defaulting to outdoor
