Campaign,Ad Group,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Description 1,Description 2,Description 3,Description 4
Search-1,Weston - Masonry,Responsive search ad,https://phaora.com/masonry-weston-ma/,masonry,weston,"Masonry in Weston, MA",Weston Stone & Hardscape,Masonry Crew in Weston,"Patios, Walkways, Walls",Stone Veneer & Fireplaces,Retaining Walls Built Right,Free On-Site Estimate,A Price Before Anyone Visits,1-Year Workmanship Warranty,"Insured, Our Own Crew",Built to Your Frost Depth,Masonry & Whole-Home Work,"Patios, walkways, retaining walls and stone veneer in Weston. Built by our own crew.","One-year workmanship warranty. If it moves because of how we built it, we come back.",Get a real number before anyone visits. Then book a free on-site estimate.,"Masonry is our flagship and we take on the rest of the home. Insured, our own crew."
Search-1,Wellesley - Masonry,Responsive search ad,https://phaora.com/masonry-wellesley-ma/,masonry,wellesley,"Masonry in Wellesley, MA",Wellesley Stone & Hardscape,Masonry Crew in Wellesley,"Patios, Walkways, Walls",Stone Veneer & Fireplaces,Retaining Walls Built Right,Free On-Site Estimate,A Price Before Anyone Visits,1-Year Workmanship Warranty,"Insured, Our Own Crew",Built to Your Frost Depth,Masonry & Whole-Home Work,"Patios, walkways, retaining walls and stone veneer in Wellesley. Built by our own crew.","One-year workmanship warranty. If it moves because of how we built it, we come back.",Get a real number before anyone visits. Then book a free on-site estimate.,"Masonry is our flagship and we take on the rest of the home. Insured, our own crew."
Search-1,Sudbury - Masonry,Responsive search ad,https://phaora.com/masonry-sudbury-ma/,masonry,sudbury,"Masonry in Sudbury, MA",Sudbury Stone & Hardscape,Masonry Crew in Sudbury,"Patios, Walkways, Walls",Stone Veneer & Fireplaces,Retaining Walls Built Right,Free On-Site Estimate,A Price Before Anyone Visits,1-Year Workmanship Warranty,"Insured, Our Own Crew",Built to Your Frost Depth,Masonry & Whole-Home Work,"Patios, walkways, retaining walls and stone veneer in Sudbury. Built by our own crew.","One-year workmanship warranty. If it moves because of how we built it, we come back.",Get a real number before anyone visits. Then book a free on-site estimate.,"Masonry is our flagship and we take on the rest of the home. Insured, our own crew."
Search-1,Wayland - Masonry,Responsive search ad,https://phaora.com/masonry-wayland-ma/,masonry,wayland,"Masonry in Wayland, MA",Wayland Stone & Hardscape,Masonry Crew in Wayland,"Patios, Walkways, Walls",Stone Veneer & Fireplaces,Retaining Walls Built Right,Free On-Site Estimate,A Price Before Anyone Visits,1-Year Workmanship Warranty,"Insured, Our Own Crew",Built to Your Frost Depth,Masonry & Whole-Home Work,"Patios, walkways, retaining walls and stone veneer in Wayland. Built by our own crew.","One-year workmanship warranty. If it moves because of how we built it, we come back.",Get a real number before anyone visits. Then book a free on-site estimate.,"Masonry is our flagship and we take on the rest of the home. Insured, our own crew."
Search-1,Concord - Masonry,Responsive search ad,https://phaora.com/masonry-concord-ma/,masonry,concord,"Masonry in Concord, MA",Concord Stone & Hardscape,Masonry Crew in Concord,"Patios, Walkways, Walls",Stone Veneer & Fireplaces,Retaining Walls Built Right,Free On-Site Estimate,A Price Before Anyone Visits,1-Year Workmanship Warranty,"Insured, Our Own Crew",Built to Your Frost Depth,Masonry & Whole-Home Work,"Patios, walkways, retaining walls and stone veneer in Concord. Built by our own crew.","One-year workmanship warranty. If it moves because of how we built it, we come back.",Get a real number before anyone visits. Then book a free on-site estimate.,"Masonry is our flagship and we take on the rest of the home. Insured, our own crew."
Search-1,Lincoln - Masonry,Responsive search ad,https://phaora.com/masonry-lincoln-ma/,masonry,lincoln,"Masonry in Lincoln, MA",Lincoln Stone & Hardscape,Masonry Crew in Lincoln,"Patios, Walkways, Walls",Stone Veneer & Fireplaces,Retaining Walls Built Right,Free On-Site Estimate,A Price Before Anyone Visits,1-Year Workmanship Warranty,"Insured, Our Own Crew",Built to Your Frost Depth,Masonry & Whole-Home Work,"Patios, walkways, retaining walls and stone veneer in Lincoln. Built by our own crew.","One-year workmanship warranty. If it moves because of how we built it, we come back.",Get a real number before anyone visits. Then book a free on-site estimate.,"Masonry is our flagship and we take on the rest of the home. Insured, our own crew."
Search-1,Lexington - Masonry,Responsive search ad,https://phaora.com/masonry-lexington-ma/,masonry,lexington,"Masonry in Lexington, MA",Lexington Stone & Hardscape,Masonry Crew in Lexington,"Patios, Walkways, Walls",Stone Veneer & Fireplaces,Retaining Walls Built Right,Free On-Site Estimate,A Price Before Anyone Visits,1-Year Workmanship Warranty,"Insured, Our Own Crew",Built to Your Frost Depth,Masonry & Whole-Home Work,"Patios, walkways, retaining walls and stone veneer in Lexington. Built by our own crew.","One-year workmanship warranty. If it moves because of how we built it, we come back.",Get a real number before anyone visits. Then book a free on-site estimate.,"Masonry is our flagship and we take on the rest of the home. Insured, our own crew."
Search-1,Newton - Masonry,Responsive search ad,https://phaora.com/masonry-newton-ma/,masonry,newton,"Masonry in Newton, MA",Newton Stone & Hardscape,Masonry Crew in Newton,"Patios, Walkways, Walls",Stone Veneer & Fireplaces,Retaining Walls Built Right,Free On-Site Estimate,A Price Before Anyone Visits,1-Year Workmanship Warranty,"Insured, Our Own Crew",Built to Your Frost Depth,Masonry & Whole-Home Work,"Patios, walkways, retaining walls and stone veneer in Newton. Built by our own crew.","One-year workmanship warranty. If it moves because of how we built it, we come back.",Get a real number before anyone visits. Then book a free on-site estimate.,"Masonry is our flagship and we take on the rest of the home. Insured, our own crew."
Search-1,Dover - Masonry,Responsive search ad,https://phaora.com/masonry-dover-ma/,masonry,dover,"Masonry in Dover, MA",Dover Stone & Hardscape,Masonry Crew in Dover,"Patios, Walkways, Walls",Stone Veneer & Fireplaces,Retaining Walls Built Right,Free On-Site Estimate,A Price Before Anyone Visits,1-Year Workmanship Warranty,"Insured, Our Own Crew",Built to Your Frost Depth,Masonry & Whole-Home Work,"Patios, walkways, retaining walls and stone veneer in Dover. Built by our own crew.","One-year workmanship warranty. If it moves because of how we built it, we come back.",Get a real number before anyone visits. Then book a free on-site estimate.,"Masonry is our flagship and we take on the rest of the home. Insured, our own crew."
Search-1,Sherborn - Masonry,Responsive search ad,https://phaora.com/masonry-sherborn-ma/,masonry,sherborn,"Masonry in Sherborn, MA",Sherborn Stone & Hardscape,Masonry Crew in Sherborn,"Patios, Walkways, Walls",Stone Veneer & Fireplaces,Retaining Walls Built Right,Free On-Site Estimate,A Price Before Anyone Visits,1-Year Workmanship Warranty,"Insured, Our Own Crew",Built to Your Frost Depth,Masonry & Whole-Home Work,"Patios, walkways, retaining walls and stone veneer in Sherborn. Built by our own crew.","One-year workmanship warranty. If it moves because of how we built it, we come back.",Get a real number before anyone visits. Then book a free on-site estimate.,"Masonry is our flagship and we take on the rest of the home. Insured, our own crew."
