Campaign,Ad Group,Keyword,Match Type
Search-1,Weston - Masonry,"""masonry weston ma""",Phrase
Search-1,Weston - Masonry,"""masonry in weston""",Phrase
Search-1,Weston - Masonry,"""mason weston ma""",Phrase
Search-1,Weston - Masonry,"""mason in weston""",Phrase
Search-1,Weston - Masonry,"""masonry contractor weston ma""",Phrase
Search-1,Weston - Masonry,"""masonry contractor in weston""",Phrase
Search-1,Weston - Masonry,"""stone mason weston ma""",Phrase
Search-1,Weston - Masonry,"""stone mason in weston""",Phrase
Search-1,Weston - Masonry,"""patio builder weston ma""",Phrase
Search-1,Weston - Masonry,"""patio builder in weston""",Phrase
Search-1,Weston - Masonry,"""paver patio weston ma""",Phrase
Search-1,Weston - Masonry,"""paver patio in weston""",Phrase
Search-1,Weston - Masonry,"""walkway weston ma""",Phrase
Search-1,Weston - Masonry,"""walkway in weston""",Phrase
Search-1,Weston - Masonry,"""retaining wall weston ma""",Phrase
Search-1,Weston - Masonry,"""retaining wall in weston""",Phrase
Search-1,Weston - Masonry,"""stone veneer weston ma""",Phrase
Search-1,Weston - Masonry,"""stone veneer in weston""",Phrase
Search-1,Weston - Masonry,"""stone steps weston ma""",Phrase
Search-1,Weston - Masonry,"""stone steps in weston""",Phrase
Search-1,Weston - Masonry,"""chimney repair weston ma""",Phrase
Search-1,Weston - Masonry,"""chimney repair in weston""",Phrase
Search-1,Weston - Masonry,"""hardscaping weston ma""",Phrase
Search-1,Weston - Masonry,"""hardscaping in weston""",Phrase
Search-1,Weston - Masonry,[weston ma masonry contractor],Exact
Search-1,Weston - Masonry,[masonry contractor weston ma],Exact
Search-1,Wellesley - Masonry,"""masonry wellesley ma""",Phrase
Search-1,Wellesley - Masonry,"""masonry in wellesley""",Phrase
Search-1,Wellesley - Masonry,"""mason wellesley ma""",Phrase
Search-1,Wellesley - Masonry,"""mason in wellesley""",Phrase
Search-1,Wellesley - Masonry,"""masonry contractor wellesley ma""",Phrase
Search-1,Wellesley - Masonry,"""masonry contractor in wellesley""",Phrase
Search-1,Wellesley - Masonry,"""stone mason wellesley ma""",Phrase
Search-1,Wellesley - Masonry,"""stone mason in wellesley""",Phrase
Search-1,Wellesley - Masonry,"""patio builder wellesley ma""",Phrase
Search-1,Wellesley - Masonry,"""patio builder in wellesley""",Phrase
Search-1,Wellesley - Masonry,"""paver patio wellesley ma""",Phrase
Search-1,Wellesley - Masonry,"""paver patio in wellesley""",Phrase
Search-1,Wellesley - Masonry,"""walkway wellesley ma""",Phrase
Search-1,Wellesley - Masonry,"""walkway in wellesley""",Phrase
Search-1,Wellesley - Masonry,"""retaining wall wellesley ma""",Phrase
Search-1,Wellesley - Masonry,"""retaining wall in wellesley""",Phrase
Search-1,Wellesley - Masonry,"""stone veneer wellesley ma""",Phrase
Search-1,Wellesley - Masonry,"""stone veneer in wellesley""",Phrase
Search-1,Wellesley - Masonry,"""stone steps wellesley ma""",Phrase
Search-1,Wellesley - Masonry,"""stone steps in wellesley""",Phrase
Search-1,Wellesley - Masonry,"""chimney repair wellesley ma""",Phrase
Search-1,Wellesley - Masonry,"""chimney repair in wellesley""",Phrase
Search-1,Wellesley - Masonry,"""hardscaping wellesley ma""",Phrase
Search-1,Wellesley - Masonry,"""hardscaping in wellesley""",Phrase
Search-1,Wellesley - Masonry,[wellesley ma masonry contractor],Exact
Search-1,Wellesley - Masonry,[masonry contractor wellesley ma],Exact
Search-1,Sudbury - Masonry,"""masonry sudbury ma""",Phrase
Search-1,Sudbury - Masonry,"""masonry in sudbury""",Phrase
Search-1,Sudbury - Masonry,"""mason sudbury ma""",Phrase
Search-1,Sudbury - Masonry,"""mason in sudbury""",Phrase
Search-1,Sudbury - Masonry,"""masonry contractor sudbury ma""",Phrase
Search-1,Sudbury - Masonry,"""masonry contractor in sudbury""",Phrase
Search-1,Sudbury - Masonry,"""stone mason sudbury ma""",Phrase
Search-1,Sudbury - Masonry,"""stone mason in sudbury""",Phrase
Search-1,Sudbury - Masonry,"""patio builder sudbury ma""",Phrase
Search-1,Sudbury - Masonry,"""patio builder in sudbury""",Phrase
Search-1,Sudbury - Masonry,"""paver patio sudbury ma""",Phrase
Search-1,Sudbury - Masonry,"""paver patio in sudbury""",Phrase
Search-1,Sudbury - Masonry,"""walkway sudbury ma""",Phrase
Search-1,Sudbury - Masonry,"""walkway in sudbury""",Phrase
Search-1,Sudbury - Masonry,"""retaining wall sudbury ma""",Phrase
Search-1,Sudbury - Masonry,"""retaining wall in sudbury""",Phrase
Search-1,Sudbury - Masonry,"""stone veneer sudbury ma""",Phrase
Search-1,Sudbury - Masonry,"""stone veneer in sudbury""",Phrase
Search-1,Sudbury - Masonry,"""stone steps sudbury ma""",Phrase
Search-1,Sudbury - Masonry,"""stone steps in sudbury""",Phrase
Search-1,Sudbury - Masonry,"""chimney repair sudbury ma""",Phrase
Search-1,Sudbury - Masonry,"""chimney repair in sudbury""",Phrase
Search-1,Sudbury - Masonry,"""hardscaping sudbury ma""",Phrase
Search-1,Sudbury - Masonry,"""hardscaping in sudbury""",Phrase
Search-1,Sudbury - Masonry,[sudbury ma masonry contractor],Exact
Search-1,Sudbury - Masonry,[masonry contractor sudbury ma],Exact
